,node,embedding
0,2813,"[34.63750259 20.35864365 -1.20763975 -0.97736046  0.23479278  5.40115298
  8.51684704 -0.53078058 -0.53245975 -0.8002612  -3.08002422  0.61509874
  1.03727886 -1.68163813  4.22448238  4.41397363 -2.43951389  1.38136843
 -0.5487753  -0.09986042 -1.99060814 -0.10028059  0.17231477 -0.5892525
 -0.08022406 -2.57672924  4.58388978 -2.31123317 -0.80378753  1.565003
  0.76383124 -3.8348879 ]"
1,3146,"[30.69087939 13.37515398 -0.94439779 -2.43094413  0.50991186 -0.41803552
  2.24663748  5.34694484 -2.41232512 -3.39869494 -3.66463729 -1.99110014
  2.11519318  2.39927771 -2.60663215 -3.37225317 -1.07892272  0.65818566
 -1.38817192  4.04685745 -2.0213833  -1.66210803 -3.76961051  0.36187769
 -1.09805367  1.61867258  1.52846722 -1.90976958  0.51734037  2.28782005
 -2.33036311 -0.81066109]"
2,3229,"[14.6139462  -1.53373324 -2.90964606 -3.72308356  0.20293843  0.44915582
 -1.77282711  2.43608696  0.39732533 -1.90721568 -0.25610381 -1.23177998
  1.73937887 -0.40446793  0.2182062   0.94877413  1.57754904  0.06967238
  0.72641363  0.32992479 -0.3817771  -0.54685151 -0.86381162 -1.31745601
  0.9922823   0.31876882 -0.21969583 -0.23629671 -0.1889505  -0.1251402
 -0.2774053  -0.06045987]"
3,3885,"[14.85458304 -1.20740326 -5.02002851 -2.8553833  -0.74804015 -1.00552149
 -1.28686013  2.40429356 -0.01655504 -3.54955621 -0.12782918  0.2042047
  1.78322181 -0.7978217   0.05471907 -1.13866674 -1.61632242 -1.21396519
 -0.45599427  0.95346091  0.88067996  0.15943026  1.24421284 -0.14288393
  2.06100514  0.56411411  1.15027831 -1.33365266 -0.46886856  1.13840641
  0.82274638 -0.16345348]"
4,4379,"[ 1.31730439e+01 -2.40452380e+00 -1.90968131e-01 -1.99709917e+00
  1.81661658e-02 -3.59474347e+00  6.75792744e-01  1.10066191e+00
  9.77099549e-01 -1.13252892e+00 -1.66725628e-01  4.32215522e-01
  3.10482973e-01 -5.12975041e-01  5.21751395e-01  2.06567526e-01
 -1.28826761e+00  5.71722210e-01  1.04944393e+00  9.41295009e-02
  1.89770320e+00 -8.14806426e-01  1.47675503e+00 -1.53399646e-02
  1.60939198e+00  4.17988271e-01  1.67950073e-01  2.21702532e-02
 -2.13793947e-01  1.96349640e-01 -1.55730098e-03  9.96270195e-02]"
5,4390,"[12.55134692 -2.87011116  0.04966661 -2.67444898  1.86445219  0.15088129
 -0.87226612 -0.48927001  0.54236495  1.00454457  0.04799164  1.71905161
  1.67681427 -1.20850371  0.51983282 -0.06563888 -0.16348358  0.64580001
  1.10192178  0.33574993  0.73575548 -0.4639671  -0.4403468  -0.38056996
  0.34397127  0.43939705  1.03966677  0.45822977  0.24128622 -0.18539167
  0.7651052   1.12422803]"
6,5250,"[ 1.32571070e+01 -2.19648326e+00 -4.15682770e+00 -3.61483568e+00
  1.69576139e+00  1.21739280e-01 -4.89363784e-01 -1.44168038e-01
 -7.18296799e-02 -2.10627301e+00  4.87139224e-01 -2.76544579e+00
  1.56990070e+00 -3.79587412e-01  4.79860656e-01  2.36312122e-01
 -3.72643436e-01 -7.95522017e-02 -2.83572572e-01  8.66303161e-01
  1.93708577e+00 -5.32355568e-02  4.14306912e-01  1.11117690e+00
  1.28648889e+00  1.07565367e-01  7.67956212e-03 -7.09222761e-01
 -2.24491321e-01  4.07958466e-01 -1.02105060e+00  1.21590763e+00]"
7,5456,"[15.7566225  -0.41445505 -0.44469117 -4.53557186  1.59552033  2.43438617
 -2.77549018  3.79450434  0.10201375 -1.61175275 -0.45766374 -1.07562521
  2.30292299  0.44520166 -0.0862892   0.12543106 -0.04204276 -1.30230222
 -1.13509706  1.50480071 -0.41543875 -0.36429662 -0.97401217 -0.1106156
  2.43902775 -0.34115757  0.4142262   0.24977993 -0.24101457  0.10035054
 -1.8527788  -0.19316474]"
8,6187,"[ 3.72235534e+01  2.50503472e+01  1.90107359e+00 -3.80310531e-01
  1.81294779e-02  6.86459675e+00  1.26527808e+01  9.84197110e-01
 -4.82833047e+00  7.48667159e-02  4.13879883e-01 -2.16928649e-01
 -9.41260442e-01 -2.78917306e+00  6.19343080e+00  3.29813022e+00
 -2.42290009e+00  2.38094504e+00 -1.33958425e+00  1.87288647e-01
  1.78740131e+00 -3.04435324e-01  8.02995302e-02 -3.08706693e+00
 -2.58203646e+00  3.19418126e+00 -3.75483541e+00 -1.91573618e+00
 -2.21008903e+00  3.94825328e+00  1.22698104e+00 -3.93070423e+00]"
9,392,"[ 1.38962297 -1.40747891 -0.0393489  -0.30334168  0.78735399  0.7230246
  0.89032265 -0.01847528  0.19057567 -0.11528584  0.15003191 -0.23909133
  0.2055421  -0.30907084 -0.59652296 -0.77592575 -0.2062135   0.0875273
  0.05033363 -0.08353481  0.02280614 -0.13157737 -0.42962727  0.2463176
 -0.01776779 -0.40424619 -0.35579484  0.00694167 -0.16394704 -0.38222771
  0.1816748  -0.39109996]"
10,937,"[40.79925841 32.47879208 -0.07646812  8.63257417  1.25681772 12.38524011
 18.54540464  2.49514614  6.77326268 -0.56944597  4.62255314  2.1587146
  0.07293566 -3.29984979 12.34501704  3.95262588  1.7449841   0.66222359
 -0.31175295  7.64870899 -0.13393776 -2.32872708  0.37129132  0.8434762
  3.87860564 -3.14202725  3.92435387  0.86154002 -0.43312856 -3.94590499
 -0.96580184 -1.61186328]"
