,node,embedding
0,2813,"[ 2.78922362e+03 -1.13206018e+03 -1.46657002e+02 -1.30711139e+02
  1.46167381e+01  3.56349024e+01 -1.85665318e+02 -1.97447879e+02
  4.48678188e+02 -2.84835511e+02  2.84443483e+02  4.30009088e+01
  9.73714362e+01 -8.47889656e+01 -1.55895989e+02 -4.44670712e-01
 -1.80525389e+01 -3.15896918e+01 -1.49510748e+01  1.37564019e+01
 -1.40006921e+02  3.27298347e+01  4.30936913e+01  1.37767012e+02
 -5.18188227e+01 -6.30821600e+01  1.89103978e+02 -1.92066464e+00
 -3.42753646e+01  5.04399182e+01 -2.42599685e+01 -1.25013672e+01]"
1,3146,"[ 931.29244178 -142.2739071  -240.4087012  -111.33663909  -27.54076848
  218.48970756   58.69110982  235.76387153  -37.9956363    79.16028635
  -82.68322064  -54.42569735  -17.29225248   -1.71450319 -126.43091689
  -33.51702134   77.09971393  -30.78376569   60.26343911    2.66885628
    3.51963954   53.97955558  -12.79442175   17.77796341  -58.14068648
  -18.92731285  -24.93820834  -21.20700109  -52.32761472   16.1461
  -60.46478896   49.24123939]"
2,3229,"[114.9138233  -23.5505462  -25.67494515 -30.05238526   0.59203956
  10.62554174  24.63089674  22.98676752   2.85481627   3.56861544
  -0.57427997  -0.54707438   4.03223556   5.03020686 -26.08298485
  -9.53620436   9.33043259   8.58388601   9.52366082  -1.80978064
  -8.63429591   0.80368927   4.38579261  -5.67378103  -9.6012624
  -4.75447208 -14.1194428    0.66142279   4.30489108  -6.53911704
  -3.92522995  -5.39152749]"
3,3885,"[157.03993503  -2.08770803 -44.79804534 -65.1084569    0.61410426
  26.07873817  53.26810265  11.73946811  13.73739252   6.10432798
  -1.08998584  -5.58039271  -5.49294639   5.15771534 -41.53033225
  -8.84788351   1.91165345  -2.04296214  36.23897556   6.55886507
   7.6499322    2.5053637   -4.61848841 -10.32827469 -16.13983237
  -7.48938953   1.5691355   -3.70589572   0.57908237   0.37969399
 -27.95287276   7.28423289]"
4,4379,"[ 95.70803135  -1.77644197 -30.91727632 -10.12062825   0.47395268
   1.01081483  -4.16764568 -11.72190208   7.87722784   9.30691889
   7.93477601  -0.3275072    5.87796913  -1.11656343   0.20803498
  -1.94390749  -1.62301827   1.65098793   5.09136706  -2.48209181
   0.46918834   9.32360284   0.86404802   0.96096544   2.4447136
 -13.82164187  -1.41489455  -8.75449346  -5.77400288  -1.84149039
  -7.52974839   0.85729001]"
5,4390,"[ 6.67675078e+01 -5.35119901e+00 -4.16191479e+00  4.13902035e+00
  2.06953463e+00 -5.01322594e+00 -5.05099980e+00 -2.96160135e-01
  4.07977086e-01 -8.47221768e+00  1.95607648e+00  2.41471702e+00
  3.73956615e+00  6.47887796e-02  4.63520678e+00  2.05966840e+00
 -4.04529373e+00  2.27707686e+00 -3.21167433e+00  4.34355968e-01
 -3.59555385e+00 -6.95506976e-01  4.10137342e+00  2.76277923e+00
 -7.86581610e+00 -1.79141640e-01 -1.20965155e+00  6.93459404e-01
  3.54699440e+00  3.62033780e+00  2.28609432e+00  4.90815460e-01]"
6,5250,"[101.65496893  -0.45295044 -34.95917489 -27.33387708   2.63823255
  10.00349217   2.09479498  20.68088829   9.07838011 -18.87016201
  -3.34411477  -3.86312929  -1.73130426   1.50709956 -18.26831815
  -1.69439634  11.32001858  -4.85414365  12.66453374  -1.67253998
   4.06419567 -13.52320375  12.84487007  -4.9816945   -5.11300408
   5.38368374   4.60748117  -9.95599588  -2.92665661   4.85325897
   1.31550921   9.1181919 ]"
7,5456,"[132.07349601  -8.78708452 -39.30125674  -3.75101737  -0.31085953
   9.05022041   7.89394072  59.00078028  -3.38123513  -4.39059941
  -9.17233957  -6.70499209  -0.16381551   0.61876194 -37.96228092
   1.22879419   9.11641495   2.58353321   5.35071987  -0.88600624
   2.22166958   2.58629107  -0.422834     1.65241713 -21.41803067
  -3.69045984   2.5430385   -5.23664731  -0.79014544  -5.43120531
  -4.51268188   0.58491567]"
8,6187,"[ 3.86252145e+03 -5.52507263e+02 -5.11101853e+02  3.54789425e+02
  1.37355949e+03 -1.58157420e+02 -1.26222265e+02 -1.59741180e+02
 -4.01432974e+02 -1.61323312e+02 -1.05677222e+02 -6.13363085e+00
 -6.70686484e+01  1.28086615e+01  2.38405062e+01  2.72947544e+01
  1.52564715e+02 -4.98587863e+01  1.24508240e+01  6.05480850e+01
 -4.44070857e+01  2.88048360e+01 -1.58575437e+02 -1.04861944e+02
  3.77290725e+01 -3.14398447e+01  1.22268978e+02  2.68330821e-01
  1.39183854e+01 -1.26385980e+01 -2.55615397e+01 -3.02413914e+01]"
9,392,"[ 2.36277935  0.15961239 -0.48960733  0.15376765  0.22751127  0.0196773
 -0.99309547  0.18825452  0.56681508 -1.28821397  0.3039443   0.36946847
 -0.64724645 -0.35674125  0.01336134 -0.46152317  0.34052025 -0.23488972
  0.53221974  0.44729328 -0.01109176 -0.41853136  0.39245407 -0.12777539
 -0.391558    0.04665504 -0.45669013  0.06029834  0.2066804   0.04167451
  0.4897803   0.09287218]"
